Area,Size_class,EstTotalAcres,Protected_Acres,HumanOrLightning,FO_LandOwnType,County,RegUseRestriction,Industrial_Restriction,DistrictCode,Month_ReportDate
NOA,B,0.5,0.5,Human,Ocean Shores,Tillamook,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,51,7
SOA,A,0.1,0.1,Human,County,Josephine,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,71,9
SOA,A,0.1,0.1,Human,BLM,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,7
SOA,B,5,5,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,4
SOA,A,0.25,0.25,Human,Rural Residential,Coos,Outside Closed Fire Season,Outside Closed Fire Season,72,5
NOA,A,0.01,0.01,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 3 Restricted Shutdown,58,9
EOA,A,0.01,0.01,Human,Rural Residential,Deschutes,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
EOA,A,0.2,0.2,Human,Small Woodlands,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,B,0.5,0.5,Lightning,BLM,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,6
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,7
NOA,B,1.5,1.5,Lightning,BLM,Polk,Reg Use Closure,Lvl 2 Limited Shutdown,55,9
EOA,B,0.5,0.5,Lightning,Small Woodlands,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
EOA,A,0.1,0.1,Human,Rural Residential,Wasco,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
NOA,A,0.01,0.01,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 2 Limited Shutdown,58,7
NOA,B,2,2,Human,State,Benton,Outside Closed Fire Season,Outside Closed Fire Season,55,5
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.1,0.1,Human,Rural Residential,Coos,Reg Use Closure,Lvl 2 Limited Shutdown,72,9
NOA,B,0.75,0.75,Human,BLM,Clackamas,Reg Use Closure,Lvl 2 Limited Shutdown,58,7
SOA,A,0.1,0.1,Human,State,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,9
SOA,B,0.75,0.75,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,78,9
SOA,B,2,2,Human,State,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Human,State,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,8
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.01,0.01,Lightning,Rural Residential,Deschutes,Permit Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0.01,Lightning,BLM,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,9
EOA,A,0.01,0.01,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,10
SOA,A,0.1,0.1,Human,Industrial,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,10
EOA,A,0.2,0.2,Lightning,Other Private,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,5
SOA,A,0.08,0.08,Human,Rural Residential,Curry,Reg Use Closure,Lvl 3 Restricted Shutdown,72,8
SOA,A,0.1,0.1,Human,County,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.01,0.01,Human,BLM,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
EOA,A,0.2,0.2,Human,Rural Residential,Deschutes,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,95,5
SOA,A,0.01,0.01,Human,Industrial,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,11
SOA,A,0.25,0.25,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,B,0.5,0.5,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.25,0.25,Human,BLM,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,9
NOA,A,0.01,0.01,Human,State,Clatsop,Reg Use Closure,Lvl 1 Fire Season Only,52,7
SOA,A,0.1,0.1,Lightning,Industrial,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,C,22,22,Lightning,Other Private,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,10
EOA,B,0.5,0.5,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,10
SOA,B,2,2,Lightning,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,B,1,1,Human,BLM,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,72,6
EOA,A,0.1,0.1,Lightning,Small Woodlands,Lake,Reg Use Closure,Lvl 3 Restricted Shutdown,98,8
SOA,A,0.01,0.01,Human,Industrial,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
NOA,A,0.01,0.01,Human,Other Private,Tillamook,Reg Use Closure,Lvl 2 Limited Shutdown,51,8
EOA,D,250,250,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,A,0.2,0.2,Human,Other Private,Hood River,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,95,10
SOA,A,0.01,0.01,Human,Industrial,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,11
NOA,A,0.1,0.1,Lightning,Industrial,Benton,Reg Use Closure,Lvl 2 Limited Shutdown,55,8
NOA,B,0.68,0.68,Human,Industrial,Washington,Reg Use Closure,Lvl 3 Restricted Shutdown,53,7
SOA,A,0.1,0.1,Human,Ocean Shores,Curry,Reg Use Closure,Lvl 1 Fire Season Only,72,9
NOA,A,0.1,0.1,Human,Other Private,Yamhill,Reg Use Closure,Lvl 2 Limited Shutdown,53,9
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,9
SOA,B,2,2,Human,Rural Residential,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,78,10
EOA,B,0.75,0.75,Human,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,9
SOA,A,0.25,0.25,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,7
NOA,A,0.01,0.01,Human,County,Tillamook,Reg Use Closure,Lvl 2 Limited Shutdown,51,9
SOA,A,0.1,0.1,Human,Other Private,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,78,7
SOA,A,0.25,0.25,Human,State,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,5
SOA,A,0.01,0.01,Human,Rural Residential,Linn,Reg Use Closure,Lvl 2 Limited Shutdown,77,8
SOA,B,1.5,1.5,Human,Industrial,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,77,7
EOA,A,0.1,0.1,Lightning,Rural Residential,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,County,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
EOA,B,2,2,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,9
NOA,B,2.1,2.1,Human,Rural Residential,Yamhill,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
EOA,B,1.5,1.5,Human,Other Public,Umatilla,Outside Closed Fire Season,Does Not Apply - Eastern OR,97,4
EOA,A,0.01,0.01,Human,Other Public,Baker,Reg Use Closure,Lvl 1 Fire Season Only,97,8
SOA,B,1,1,Human,Other Private,Linn,Reg Use Closure,Lvl 3 Restricted Shutdown,77,9
EOA,A,0.01,0.01,Human,State,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.01,0.01,Human,Other Private,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,10
SOA,A,0.01,0.01,Human,Rural Residential,Coos,Outside Closed Fire Season,Outside Closed Fire Season,72,5
EOA,B,4,4,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,9
EOA,A,0.01,0.01,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
NOA,A,0.01,0.01,Human,State,Columbia,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,53,7
EOA,A,0.2,0.2,Human,Other Public,Deschutes,Reg Use Closure,Lvl 1 Fire Season Only,95,8
EOA,B,0.4,0.4,Lightning,Industrial,Klamath,Outside Closed Fire Season,Outside Closed Fire Season,98,5
SOA,A,0,0,Human,Industrial,Coos,Reg Use Closure,Lvl 2 Limited Shutdown,72,8
EOA,A,0.02,0.02,Lightning,Rural Residential,Wasco,Reg Use Closure,Does Not Apply - Eastern OR,95,8
EOA,B,7,7,Lightning,Other Private,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
EOA,A,0.01,0.01,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
EOA,F,1024,169,Human,Rural Residential,Wasco,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
SOA,B,4,4,Human,Industrial,Curry,Closed Fire Season Lvl 1,Lvl 2 Limited Shutdown,72,8
NOA,A,0.01,0.01,Human,State,Clatsop,Reg Use Closure,Lvl 2 Limited Shutdown,52,9
SOA,A,0.01,0.01,Human,BLM,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,7
SOA,A,0.01,0.01,Human,BLM,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,7
NOA,A,0.01,0.01,Human,Industrial,Lincoln,Outside Closed Fire Season,Outside Closed Fire Season,55,10
EOA,A,0.25,0.25,Lightning,Other Private,Morrow,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
SOA,A,0.1,0.1,Human,Other Private,Lane,Reg Use Closure,Lvl 2 Limited Shutdown,78,8
SOA,A,0.01,0.01,Human,State,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
SOA,A,0.25,0.25,Human,Municipal,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,10
NOA,A,0.25,0.25,Human,Rural Residential,Marion,Reg Use Closure,Lvl 2 Limited Shutdown,58,7
EOA,A,0.1,0.1,Lightning,Industrial,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
EOA,A,0.25,0.25,Lightning,BLM,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,9
NOA,A,0.01,0.01,Human,Industrial,Columbia,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
EOA,A,0.1,0.1,Lightning,Other Public,Lake,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,98,9
NOA,A,0.25,0.25,Human,Small Woodlands,Benton,Reg Use Closure,Lvl 2 Limited Shutdown,55,7
EOA,B,1,1,Human,Other Private,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,11
NOA,A,0.02,0.02,Human,County,Marion,Reg Use Closure,Lvl 2 Limited Shutdown,58,7
SOA,A,0.1,0.1,Lightning,BLM,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.02,0.02,Human,Other Private,Curry,Reg Use Closure,Lvl 2 Limited Shutdown,72,9
EOA,A,0,0,Human,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,9
SOA,A,0.01,0.01,Lightning,BLM,Jackson,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
EOA,B,1.01,0.01,Lightning,USFS,Wallowa,Reg Use Closure,Does Not Apply - Eastern OR,97,8
NOA,A,0.01,0.01,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,10
SOA,A,0,0,Human,Industrial,Linn,Outside Closed Fire Season,Outside Closed Fire Season,77,6
SOA,B,1,1,Lightning,Industrial,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.1,0.1,Lightning,BLM,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
NOA,A,0.25,0.25,Human,Rural Residential,Clackamas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,58,7
SOA,B,0.3,0.3,Human,BLM,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,10
SOA,A,0.01,0.01,Human,Small Woodlands,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
SOA,A,0.01,0.01,Human,Small Woodlands,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
NOA,A,0.01,0.01,Human,Rural Residential,Clatsop,Reg Use Closure,Lvl 2 Limited Shutdown,52,7
NOA,A,0.2,0.2,Human,Industrial,Lincoln,Outside Closed Fire Season,Outside Closed Fire Season,55,7
EOA,B,0.5,0.5,Human,Industrial,Klamath,Outside Closed Fire Season,Does Not Apply - Eastern OR,98,11
EOA,A,0.1,0.1,Lightning,Other Private,Wallowa,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
EOA,A,0.25,0.25,Lightning,Other Public,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Rural Residential,Curry,Reg Use Closure,Lvl 1 Fire Season Only,72,7
EOA,A,0.1,0.1,Human,Industrial,Union,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,7
SOA,A,0.2,0.2,Human,Ocean Shores,Curry,Reg Use Closure,Lvl 2 Limited Shutdown,72,9
NOA,A,0.16,0.16,Human,Industrial,Lincoln,Reg Use Closure,Lvl 1 Fire Season Only,55,8
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
SOA,A,0.25,0.25,Human,Other Private,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0,0,Lightning,Rural Residential,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,78,8
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,78,7
EOA,A,0.01,0,Human,State,Wasco,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
SOA,B,2,2,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,10
SOA,B,4,4,Human,Rural Residential,Josephine,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,B,0.75,0.75,Human,Rural Residential,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,3
SOA,B,0.75,0.75,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
SOA,A,0.1,0.1,Human,Other Private,Linn,Outside Closed Fire Season,Outside Closed Fire Season,77,3
EOA,A,0.1,0.1,Human,Rural Residential,Deschutes,Reg Use Closure,Does Not Apply - Eastern OR,95,10
SOA,A,0.1,0.1,Human,Other Private,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,2
SOA,A,0.01,0.01,Human,County,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,B,0.7,0.7,Lightning,Small Woodlands,Jefferson,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
EOA,A,0.1,0.1,Human,Small Woodlands,Lake,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,98,6
EOA,A,0.01,0.01,Lightning,Other Private,Baker,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,A,0.01,0.01,Lightning,BLM,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,B,0.75,0.75,Human,Industrial,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,11
NOA,B,0.5,0.5,Human,Small Woodlands,Yamhill,Outside Closed Fire Season,Outside Closed Fire Season,55,10
SOA,A,0.1,0.1,Lightning,BLM,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,B,2.25,2.25,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
SOA,A,0.01,0.01,Human,Rural Residential,Josephine,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
SOA,A,0.01,0.01,Human,Industrial,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.1,0.1,Lightning,Industrial,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,77,9
EOA,A,0.01,0.01,Human,Other Private,Grant,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,6
EOA,A,0.01,0.01,Lightning,State,Deschutes,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 1 Fire Season Only,71,10
EOA,A,0.02,0.02,Lightning,Small Woodlands,Wallowa,Outside Closed Fire Season,Does Not Apply - Eastern OR,97,6
NOA,B,4.5,4.5,Human,Industrial,Yamhill,Outside Closed Fire Season,Outside Closed Fire Season,53,10
EOA,A,0.01,0.01,Human,Rural Residential,Umatilla,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
EOA,A,0.01,0.01,Lightning,USFS,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
EOA,A,0,0,Human,Rural Residential,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,10
SOA,A,0.01,0.01,Human,State,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
EOA,A,0.01,0.01,Lightning,Other Private,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.25,0.25,Human,Industrial,Coos,Reg Use Closure,Lvl 2 Limited Shutdown,72,9
SOA,A,0.25,0.25,Human,Rural Residential,Douglas,Outside Closed Fire Season,Outside Closed Fire Season,73,4
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.25,0.25,Lightning,Industrial,Wheeler,Reg Use Closure,Does Not Apply - Eastern OR,95,8
SOA,A,0.01,0,Human,County,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
SOA,B,1,1,Human,Small Woodlands,Curry,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,6
NOA,C,25.2,25.2,Human,Industrial,Linn,Outside Closed Fire Season,Outside Closed Fire Season,58,11
EOA,G,23573,969,Lightning,BIA,Jefferson,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,Industrial,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,77,7
SOA,A,0,0,Human,State,Lane,Reg Use Closure,Lvl 3 Restricted Shutdown,78,8
EOA,A,0.01,0.01,Lightning,Other Private,Crook,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,B,0.75,0.75,Human,State,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,8
EOA,A,0.01,0.01,Human,Rural Residential,Wasco,Outside Closed Fire Season,Does Not Apply - Eastern OR,95,4
EOA,B,0.33,0.33,Lightning,USFS,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,B,2,2,Human,County,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,8
SOA,A,0.01,0.01,Lightning,BLM,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
NOA,B,1.3,1.3,Human,Small Woodlands,Clatsop,Outside Closed Fire Season,Outside Closed Fire Season,52,5
EOA,A,0.25,0.25,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
SOA,A,0.01,0.01,Human,Small Woodlands,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.25,0,Human,Rural Residential,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,7
SOA,A,0,0,Human,Small Woodlands,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,78,8
EOA,A,0,0,Human,Rural Residential,Klamath,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,99,6
NOA,A,0.01,0.01,Human,Industrial,Columbia,Reg Use Closure,Lvl 2 Limited Shutdown,53,7
SOA,A,0.1,0.1,Lightning,BLM,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,7
SOA,A,0.1,0.1,Human,BLM,Josephine,Reg Use Closure,Lvl 3 Restricted Shutdown,71,9
SOA,A,0.1,0.1,Human,Industrial,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
SOA,B,3,3,Human,Other Private,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
SOA,A,0.1,0.1,Lightning,BLM,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,6
SOA,A,0.02,0.02,Lightning,BLM,Coos,Outside Closed Fire Season,Outside Closed Fire Season,72,6
EOA,A,0.01,0.01,Human,Small Woodlands,Hood River,Reg Use Closure,Lvl 3 Restricted Shutdown,95,8
EOA,A,0.25,0.25,Human,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,9
SOA,A,0.01,0.01,Human,BLM,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,6
EOA,A,0.1,0.1,Lightning,Small Woodlands,Umatilla,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,7
NOA,A,0.25,0.25,Human,Industrial,Clackamas,Outside Closed Fire Season,Outside Closed Fire Season,58,11
EOA,B,0.33,0,Human,Rural Residential,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.25,0.25,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.1,0.1,Human,State,Curry,Reg Use Closure,Lvl 1 Fire Season Only,72,9
NOA,A,0.01,0.01,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,7
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
EOA,A,0.2,0.2,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,7
SOA,A,0.01,0.01,Human,Rural Residential,Douglas,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,73,10
EOA,A,0.1,0.1,Human,Other Private,Baker,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
EOA,B,0.4,0,Human,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,7
SOA,A,0.01,0.01,Human,BLM,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
SOA,B,0.62,0.62,Human,BLM,Lane,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,77,7
EOA,B,1.5,1.5,Lightning,Other Private,Baker,Reg Use Closure,Does Not Apply - Eastern OR,97,8
NOA,A,0.01,0.01,Human,Industrial,Clackamas,Reg Use Closure,Lvl 2 Limited Shutdown,58,8
NOA,A,0.1,0.1,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 1 Fire Season Only,58,9
EOA,B,0.75,0.75,Human,Other Private,Deschutes,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,95,10
SOA,A,0.1,0.1,Human,Other Private,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,9
SOA,B,0.33,0.33,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,5
SOA,B,3,3,Human,Rural Residential,Douglas,Reg Use Closure,Lvl 3 Restricted Shutdown,73,8
EOA,A,0.01,0.01,Lightning,Industrial,Union,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,97,7
EOA,B,1.5,1.5,Lightning,Other Private,Grant,Reg Use Closure,Does Not Apply - Eastern OR,95,8
NOA,A,0.01,0.01,Human,Other Private,Marion,Reg Use Closure,Lvl 1 Fire Season Only,58,10
SOA,B,0.5,0.5,Human,Rural Residential,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
SOA,A,0.25,0.05,Human,Other Private,Coos,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,7
EOA,B,0.5,0.5,Lightning,Industrial,Lake,Reg Use Closure,Does Not Apply - Eastern OR,98,7
NOA,A,0.1,0.1,Human,Rural Residential,Clackamas,Reg Use Closure,Lvl 2 Limited Shutdown,58,9
NOA,B,0.34,0.34,Human,Small Woodlands,Yamhill,Reg Use Closure,Lvl 2 Limited Shutdown,53,8
SOA,A,0.1,0.1,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 1 Fire Season Only,71,7
EOA,A,0.02,0.02,Human,Rural Residential,Deschutes,Outside Closed Fire Season,Outside Closed Fire Season,95,5
SOA,A,0.01,0.01,Human,Industrial,Jackson,Outside Closed Fire Season,Outside Closed Fire Season,71,6
EOA,A,0,0,Lightning,Rural Residential,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,99,8
SOA,A,0.01,0.01,Human,State,Curry,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,72,6
SOA,A,0.01,0.01,Human,Industrial,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
SOA,A,0.25,0.25,Human,Rural Residential,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,8
SOA,A,0.01,0.01,Lightning,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
NOA,A,0.01,0.01,Human,Rural Residential,Columbia,Outside Closed Fire Season,Outside Closed Fire Season,53,4
SOA,A,0.01,0.01,Human,State,Lane,Outside Closed Fire Season,Outside Closed Fire Season,78,5
SOA,A,0.01,0.01,Human,Rural Residential,Lane,Outside Closed Fire Season,Outside Closed Fire Season,77,5
EOA,A,0.01,0.01,Human,Small Woodlands,Wallowa,Closed Fire Season Lvl 1,Does Not Apply - Eastern OR,97,7
SOA,A,0.05,0.05,Human,Industrial,Coos,Reg Use Closure,Lvl 2 Limited Shutdown,72,9
SOA,B,0.5,0.5,Human,Rural Residential,Josephine,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,A,0.02,0.02,Human,Rural Residential,Umatilla,Reg Use Closure,Does Not Apply - Eastern OR,97,8
SOA,A,0.01,0.01,Human,Municipal,Lane,Reg Use Closure,Lvl 1 Fire Season Only,78,10
SOA,A,0.01,0.01,Human,State,Douglas,Reg Use Closure,Lvl 2 Limited Shutdown,73,7
EOA,A,0.01,0.01,Lightning,BLM,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,6
SOA,B,1,1,Human,Other Private,Jackson,Reg Use Closure,Lvl 2 Limited Shutdown,71,7
EOA,A,0.1,0.1,Lightning,Industrial,Klamath,Reg Use Closure,Does Not Apply - Eastern OR,98,8
NOA,A,0.01,0.01,Human,Other Public,Marion,Reg Use Closure,Lvl 2 Limited Shutdown,58,8
SOA,A,0.25,0.25,Human,Industrial,Jackson,Closed Fire Season Lvl 1,Lvl 1 Fire Season Only,71,10
SOA,B,0.75,0.75,Human,Industrial,Linn,Reg Use Closure,Lvl 2 Limited Shutdown,77,9
